common_name	genome_name	species_name	genome_url	bsgenome	refseq_accession	refseq_url	buffer_col
barn swallow 	bHirRus1.pri.v3	Hirundo rustica	https://hgdownload.soe.ucsc.edu/hubs/GCF/015/227/805/GCF_015227805.2/GCF_015227805.2.fa.gz		GCF_015227805.2	https://www.ncbi.nlm.nih.gov/assembly/GCF_015227805.2/	
trahira 	fHopMal1.hap1	Hoplias malabaricus	https://hgdownload.soe.ucsc.edu/hubs/GCA/029/633/855/GCA_029633855.2/GCA_029633855.2.fa.gz		GCA_029633855.2	https://www.ncbi.nlm.nih.gov/assembly/GCA_029633855.2/	
trahira 	fHopMal1.hap2	Hoplias malabaricus	https://hgdownload.soe.ucsc.edu/hubs/GCA/029/633/875/GCA_029633875.1/GCA_029633875.1.fa.gz		GCA_029633875.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_029633875.1/	
spotted ratfish 	sHydCol1.hap2	Hydrolagus colliei	https://hgdownload.soe.ucsc.edu/hubs/GCA/035/084/275/GCA_035084275.1/GCA_035084275.1.fa.gz		GCA_035084275.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_035084275.1/	
Sardinian treefrog 	aHylSar1.hap1	Hyla sarda	https://hgdownload.soe.ucsc.edu/hubs/GCF/029/499/605/GCF_029499605.1/GCF_029499605.1.fa.gz		GCF_029499605.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_029499605.1/	
Atlantic stingray 	sHypSab1.hap1	Hypanus sabinus	https://hgdownload.soe.ucsc.edu/hubs/GCF/030/144/855/GCF_030144855.1/GCF_030144855.1.fa.gz		GCF_030144855.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_030144855.1/	
Riggenbach's reed frog 	aHypRig1.pri	Hyperolius riggenbachi	https://hgdownload.soe.ucsc.edu/hubs/GCF/040/937/935/GCF_040937935.1/GCF_040937935.1.fa.gz		GCF_040937935.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_040937935.1/	
northern bottlenose whale 	mHypAmp2.1	Hyperoodon ampullatus	https://hgdownload.soe.ucsc.edu/hubs/GCA/949/752/795/GCA_949752795.1/GCA_949752795.1.fa.gz		GCA_949752795.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_949752795.1/	
greater sand-eel 	fHypImm3.1	Hyperoplus immaculatus	https://hgdownload.soe.ucsc.edu/hubs/GCA/949/357/725/GCA_949357725.1/GCA_949357725.1.fa.gz		GCA_949357725.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_949357725.1/	
boutu 	mIniGeo1.hap1	Inia geoffrensis	https://hgdownload.soe.ucsc.edu/hubs/GCA/036/417/435/GCA_036417435.1/GCA_036417435.1.fa.gz		GCA_036417435.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_036417435.1/	
lesser Egyptian jerboa 	mJacJac1.mat.Y.cur	Jaculus jaculus	https://hgdownload.soe.ucsc.edu/hubs/GCF/020/740/685/GCF_020740685.1/GCF_020740685.1.fa.gz		GCF_020740685.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_020740685.1/	
pygmy sperm whale 	mKogBre1_haplotype_1	Kogia breviceps	https://hgdownload.soe.ucsc.edu/hubs/GCF/026/419/965/GCF_026419965.1/GCF_026419965.1.fa.gz		GCF_026419965.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_026419965.1/	
ballan wrasse 	fLabBer1.1	Labrus bergylta	https://hgdownload.soe.ucsc.edu/hubs/GCF/963/930/695/GCF_963930695.1/GCF_963930695.1.fa.gz		GCF_963930695.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_963930695.1/	
cuckoo wrasse 	fLabMix1.1	Labrus mixtus	https://hgdownload.soe.ucsc.edu/hubs/GCF/963/584/025/GCF_963584025.1/GCF_963584025.1.fa.gz		GCF_963584025.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_963584025.1/	
sand lizard 	rLacAgi1.pri	Lacerta agilis	https://hgdownload.soe.ucsc.edu/hubs/GCF/009/819/535/GCF_009819535.1/GCF_009819535.1.fa.gz		GCF_009819535.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_009819535.1/	
Atlantic white-sided dolphin 	mLagAcu1.hap1.1	Lagenorhynchus acutus	https://hgdownload.soe.ucsc.edu/hubs/GCA/964/270/905/GCA_964270905.1/GCA_964270905.1.fa.gz		GCA_964270905.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_964270905.1/	
white-beaked dolphin 	mLagAlb1.1	Lagenorhynchus albirostris	https://hgdownload.soe.ucsc.edu/hubs/GCF/949/774/975/GCF_949774975.1/GCF_949774975.1.fa.gz		GCF_949774975.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_949774975.1/	
rock ptarmigan 	bLagMut1_primary	Lagopus muta	https://hgdownload.soe.ucsc.edu/hubs/GCF/023/343/835/GCF_023343835.1/GCF_023343835.1.fa.gz		GCF_023343835.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_023343835.1/	
European river lamprey 	kcLamFluv1.1	Lampetra fluviatilis	https://hgdownload.soe.ucsc.edu/hubs/GCA/964/198/595/GCA_964198595.1/GCA_964198595.1.fa.gz		GCA_964198595.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_964198595.1/	
smalleye Pacific opah 	fLamInc1.hap2	Lampris incognitus	https://hgdownload.soe.ucsc.edu/hubs/GCF/029/633/865/GCF_029633865.1/GCF_029633865.1.fa.gz		GCF_029633865.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_029633865.1/	
lesser black-backed gull 	bLarFus1.1	Larus fuscus	https://hgdownload.soe.ucsc.edu/hubs/GCA/963/932/225/GCA_963932225.1/GCA_963932225.1.fa.gz		GCA_963932225.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_963932225.1/	
yellow-legged gull 	bLarMic1.1	Larus michahellis	https://hgdownload.soe.ucsc.edu/hubs/GCA/964/199/755/GCA_964199755.1/GCA_964199755.1.fa.gz		GCA_964199755.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_964199755.1/	
swift parrot 	bLatDis1.hap1	Lathamus discolor	https://hgdownload.soe.ucsc.edu/hubs/GCF/037/157/495/GCF_037157495.1/GCF_037157495.1.fa.gz		GCF_037157495.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_037157495.1/	
coelacanth 	fLatCha1.pri	Latimeria chalumnae	https://hgdownload.soe.ucsc.edu/hubs/GCF/037/176/945/GCF_037176945.1/GCF_037176945.1.fa.gz		GCF_037176945.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_037176945.1/	
ring-tailed lemur 	mLemCat1.pri	Lemur catta	https://hgdownload.soe.ucsc.edu/hubs/GCF/020/740/605/GCF_020740605.2/GCF_020740605.2.fa.gz		GCF_020740605.2	https://www.ncbi.nlm.nih.gov/assembly/GCF_020740605.2/	
spotted gar 	fLepOcu1.hap2	Lepisosteus oculatus	https://hgdownload.soe.ucsc.edu/hubs/GCF/040/954/835/GCF_040954835.1/GCF_040954835.1.fa.gz		GCF_040954835.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_040954835.1/	
rufous frog 	aLepFus1.hap2	Leptodactylus fuscus	https://hgdownload.soe.ucsc.edu/hubs/GCA/031/893/055/GCA_031893055.1/GCA_031893055.1.fa.gz		GCA_031893055.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_031893055.1/	
cuckoo roller 	bLepDis1.hap2	Leptosomus discolor	https://hgdownload.soe.ucsc.edu/hubs/GCA/034/619/465/GCA_034619465.1/GCA_034619465.1.fa.gz		GCA_034619465.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_034619465.1/	
olive python 	rLiaOli1.hap1	Liasis olivaceus	https://hgdownload.soe.ucsc.edu/hubs/GCA/030/867/105/GCA_030867105.1/GCA_030867105.1.fa.gz		GCA_030867105.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_030867105.1/	
common dab 	fLimLim1.1	Limanda limanda	https://hgdownload.soe.ucsc.edu/hubs/GCF/963/576/545/GCF_963576545.1/GCF_963576545.1.fa.gz		GCF_963576545.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_963576545.1/	
shanny 	fLipPho2.1	Lipophrys pholis	https://hgdownload.soe.ucsc.edu/hubs/GCA/963/383/615/GCA_963383615.1/GCA_963383615.1.fa.gz		GCA_963383615.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_963383615.1/	
palmate newt 	aLisHel1.1	Lissotriton helveticus	https://hgdownload.soe.ucsc.edu/hubs/GCA/964/261/635/GCA_964261635.1/GCA_964261635.1.fa.gz		GCA_964261635.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_964261635.1/	
common newt 	aLisVul1.1	Lissotriton vulgaris	https://hgdownload.soe.ucsc.edu/hubs/GCA/964/263/255/GCA_964263255.1/GCA_964263255.1.fa.gz		GCA_964263255.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_964263255.1/	
African savanna elephant 	mLoxAfr1.hap2	Loxodonta africana	https://hgdownload.soe.ucsc.edu/hubs/GCF/030/014/295/GCF_030014295.1/GCF_030014295.1.fa.gz		GCF_030014295.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_030014295.1/	
Eurasian river otter 	mLutLut1.2	Lutra lutra	https://hgdownload.soe.ucsc.edu/hubs/GCF/902/655/055/GCF_902655055.1/GCF_902655055.1.fa.gz		GCF_902655055.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_902655055.1/	
African hunting dog 	LycPic1.final.hap2	Lycaon pictus	https://hgdownload.soe.ucsc.edu/hubs/GCA/040/955/705/GCA_040955705.1/GCA_040955705.1.fa.gz		GCA_040955705.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_040955705.1/	
Obi paradise-crow 	ASM1470629v1	Lycocorax pyrrhopterus obiensis	https://hgdownload.soe.ucsc.edu/hubs/GCA/014/706/295/GCA_014706295.1/GCA_014706295.1.fa.gz		GCA_014706295.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_014706295.1/	
blackbelly eelpout 	fLycPai1.hap2	Lycodopsis pacificus	https://hgdownload.soe.ucsc.edu/hubs/GCA/028/022/725/GCA_028022725.1/GCA_028022725.1.fa.gz		GCA_028022725.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_028022725.1/	
Canada lynx 	mLynCan4.pri.v2	Lynx canadensis	https://hgdownload.soe.ucsc.edu/hubs/GCF/007/474/595/GCF_007474595.2/GCF_007474595.2.fa.gz		GCF_007474595.2	https://www.ncbi.nlm.nih.gov/assembly/GCF_007474595.2/	
pig-tailed macaque 	mMacNem.hap1	Macaca nemestrina	https://hgdownload.soe.ucsc.edu/hubs/GCA/043/159/975/GCA_043159975.1/GCA_043159975.1.fa.gz		GCA_043159975.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_043159975.1/	
Suwannee snapping turtle 	rMacSuw1.hap2	Macrochelys suwanniensis	https://hgdownload.soe.ucsc.edu/hubs/GCA/033/349/115/GCA_033349115.1/GCA_033349115.1.fa.gz		GCA_033349115.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_033349115.1/	
bilby 	bilby.v1.9.chrom.fasta	Macrotis lagotis	https://hgdownload.soe.ucsc.edu/hubs/GCA/037/893/015/GCA_037893015.1/GCA_037893015.1.fa.gz		GCA_037893015.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_037893015.1/	
diamondback terrapin 	rMalTer1.hap1	Malaclemys terrapin pileata	https://hgdownload.soe.ucsc.edu/hubs/GCF/027/887/155/GCF_027887155.1/GCF_027887155.1.fa.gz		GCF_027887155.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_027887155.1/	
Chinese pangolin 	mManPen7.hap1	Manis pentadactyla	https://hgdownload.soe.ucsc.edu/hubs/GCF/030/020/395/GCF_030020395.1/GCF_030020395.1.fa.gz		GCF_030020395.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_030020395.1/	
European pine marten 	mMarMar1.1	Martes martes	https://hgdownload.soe.ucsc.edu/hubs/GCA/963/455/335/GCA_963455335.1/GCA_963455335.1.fa.gz		GCA_963455335.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_963455335.1/	
zig-zag eel 	fMasArm1.3	Mastacembelus armatus	https://hgdownload.soe.ucsc.edu/hubs/GCA/900/324/485/GCA_900324485.3/GCA_900324485.3.fa.gz		GCA_900324485.3	https://www.ncbi.nlm.nih.gov/assembly/GCA_900324485.3/	
Indo-Pacific tarpon 	fMegCyp1.pri	Megalops cyprinoides	https://hgdownload.soe.ucsc.edu/hubs/GCF/013/368/585/GCF_013368585.1/GCF_013368585.1.fa.gz		GCF_013368585.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_013368585.1/	
humpback whale 	ASM4183430v1	Megaptera novaeangliae	https://hgdownload.soe.ucsc.edu/hubs/GCA/041/834/305/GCA_041834305.1/GCA_041834305.1.fa.gz		GCA_041834305.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_041834305.1/	
limp eelpout 	fMelGel1.1	Melanostigma gelatinosum	https://hgdownload.soe.ucsc.edu/hubs/GCA/949/748/355/GCA_949748355.1/GCA_949748355.1.fa.gz		GCA_949748355.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_949748355.1/	
Boeseman's rainbowfish 	fMelBoe1.pri	Melanotaenia boesemani	https://hgdownload.soe.ucsc.edu/hubs/GCF/017/639/745/GCF_017639745.1/GCF_017639745.1.fa.gz		GCF_017639745.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_017639745.1/	
Eurasian badger 	mMelMel3.1_paternal_haplotype	Meles meles	https://hgdownload.soe.ucsc.edu/hubs/GCF/922/984/935/GCF_922984935.1/GCF_922984935.1.fa.gz		GCF_922984935.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_922984935.1/	
budgerigar 	bMelUnd1.mat.Z	Melopsittacus undulatus	https://hgdownload.soe.ucsc.edu/hubs/GCF/012/275/295/GCF_012275295.1/GCF_012275295.1.fa.gz		GCF_012275295.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_012275295.1/	
swamp sparrow 	bMelGeo1.pri	Melospiza georgiana	https://hgdownload.soe.ucsc.edu/hubs/GCF/028/018/845/GCF_028018845.1/GCF_028018845.1.fa.gz		GCF_028018845.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_028018845.1/	
song sparrow 	bMelMel2.pri	Melospiza melodia melodia	https://hgdownload.soe.ucsc.edu/hubs/GCF/035/770/615/GCF_035770615.1/GCF_035770615.1.fa.gz		GCF_035770615.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_035770615.1/	
Brazilian merganser 	bMerOct1.hap1	Mergus octosetaceus	https://hgdownload.soe.ucsc.edu/hubs/GCA/036/873/955/GCA_036873955.1/GCA_036873955.1.fa.gz		GCA_036873955.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_036873955.1/	
carmine bee-eater 	bMerNub1.pri	Merops nubicus	https://hgdownload.soe.ucsc.edu/hubs/GCA/009/819/595/GCA_009819595.1/GCA_009819595.1.fa.gz		GCA_009819595.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_009819595.1/	
Sowerby's beaked whale 	mMesBid2.hap1.1	Mesoplodon bidens	https://hgdownload.soe.ucsc.edu/hubs/GCA/964/165/515/GCA_964165515.1/GCA_964165515.1.fa.gz		GCA_964165515.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_964165515.1/	
Blainville's beaked whale 	mMesDen1_primary_haplotype	Mesoplodon densirostris	https://hgdownload.soe.ucsc.edu/hubs/GCF/025/265/405/GCF_025265405.1/GCF_025265405.1.fa.gz		GCF_025265405.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_025265405.1/	
tiny Cayenne caecilian	aMicUni1.1	Microcaecilia unicolor	https://hgdownload.soe.ucsc.edu/hubs/GCF/901/765/095/GCF_901765095.1/GCF_901765095.1.fa.gz		GCF_901765095.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_901765095.1/	
one-colored caecilian 	aMicUni1.2	Microcaecilia unicolor	https://hgdownload.soe.ucsc.edu/hubs/GCA/901/765/095/GCA_901765095.2/GCA_901765095.2.fa.gz		GCA_901765095.2	https://www.ncbi.nlm.nih.gov/assembly/GCA_901765095.2/	
thickback sole 	fMicVar1.1	Microchirus variegatus	https://hgdownload.soe.ucsc.edu/hubs/GCA/963/457/635/GCA_963457635.1/GCA_963457635.1.fa.gz		GCA_963457635.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_963457635.1/	
blue whiting 	fMicPou1.1	Micromesistius poutassou	https://hgdownload.soe.ucsc.edu/hubs/GCA/964/030/765/GCA_964030765.1/GCA_964030765.1.fa.gz		GCA_964030765.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_964030765.1/	
European harvest mouse 	mMicMin1.1	Micromys minutus	https://hgdownload.soe.ucsc.edu/hubs/GCA/963/924/665/GCA_963924665.1/GCA_963924665.1.fa.gz		GCA_963924665.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_963924665.1/	
largemouth bass 	HNU_Msal_1.0	Micropterus salmoides	https://hgdownload.soe.ucsc.edu/hubs/GCA/019/677/235/GCA_019677235.1/GCA_019677235.1.fa.gz		GCA_019677235.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_019677235.1/	
lemon sole 	fMicKit1.1	Microstomus kitt	https://hgdownload.soe.ucsc.edu/hubs/GCA/964/266/715/GCA_964266715.1/GCA_964266715.1.fa.gz		GCA_964266715.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_964266715.1/	
meadow vole 	mMicPen1.hap1	Microtus pennsylvanicus	https://hgdownload.soe.ucsc.edu/hubs/GCA/037/038/515/GCA_037038515.1/GCA_037038515.1.fa.gz		GCA_037038515.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_037038515.1/	
Schreibers' long-fingered bat 	mMinSch1.hap1.1	Miniopterus schreibersii	https://hgdownload.soe.ucsc.edu/hubs/GCA/964/146/895/GCA_964146895.1/GCA_964146895.1.fa.gz		GCA_964146895.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_964146895.1/	
Fleay's barred frog 	aMixFle1.hap1	Mixophyes fleayi	https://hgdownload.soe.ucsc.edu/hubs/GCA/038/048/845/GCA_038048845.1/GCA_038048845.1.fa.gz		GCA_038048845.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_038048845.1/	
giant manta 	sMobBir1.hap1	Mobula birostris	https://hgdownload.soe.ucsc.edu/hubs/GCA/030/028/105/GCA_030028105.1/GCA_030028105.1.fa.gz		GCA_030028105.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_030028105.1/	
Alvarez's mastiff bat 	BBF_mMolAlv_v1	Molossus alvarezi	https://hgdownload.soe.ucsc.edu/hubs/GCA/031/001/765/GCA_031001765.1/GCA_031001765.1.fa.gz		GCA_031001765.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_031001765.1/	
Alvarez's mastiff bat 	mMolAlv2.hap1	Molossus alvarezi	https://hgdownload.soe.ucsc.edu/hubs/GCA/037/157/525/GCA_037157525.1/GCA_037157525.1.fa.gz		GCA_037157525.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_037157525.1/	
Pallas's mastiff bat	mMolMol1.p	Molossus molossus	https://hgdownload.soe.ucsc.edu/hubs/GCF/014/108/415/GCF_014108415.1/GCF_014108415.1.fa.gz		GCF_014108415.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_014108415.1/	
northern black mastiff bat 	BBF_mMolNig1_v1	Molossus nigricans	https://hgdownload.soe.ucsc.edu/hubs/GCA/026/936/385/GCA_026936385.1/GCA_026936385.1.fa.gz		GCA_026936385.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_026936385.1/	
northern black mastiff bat 	mMolNig1.hap1	Molossus nigricans	https://hgdownload.soe.ucsc.edu/hubs/GCA/039/880/945/GCA_039880945.1/GCA_039880945.1.fa.gz		GCA_039880945.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_039880945.1/	
gray short-tailed opossum 	mMonDom1.pri	Monodelphis domestica	https://hgdownload.soe.ucsc.edu/hubs/GCF/027/887/165/GCF_027887165.1/GCF_027887165.1.fa.gz		GCF_027887165.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_027887165.1/	
narwhal 	NGI_Narwhal_2	Monodon monoceros	https://hgdownload.soe.ucsc.edu/hubs/GCA/005/190/385/GCA_005190385.3/GCA_005190385.3.fa.gz		GCA_005190385.3	https://www.ncbi.nlm.nih.gov/assembly/GCA_005190385.3/	
northern gannet 	bMorBas2.hap2	Morus bassanus	https://hgdownload.soe.ucsc.edu/hubs/GCA/031/468/815/GCA_031468815.1/GCA_031468815.1.fa.gz		GCA_031468815.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_031468815.1/	
Reeves' muntjac 	mMunRee1.1	Muntiacus reevesi	https://hgdownload.soe.ucsc.edu/hubs/GCF/963/930/625/GCF_963930625.1/GCF_963930625.1.fa.gz		GCF_963930625.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_963930625.1/	
Reeves' muntjac 	mMunRee1.1_alternate_haplotype	Muntiacus reevesi	https://hgdownload.soe.ucsc.edu/hubs/GCA/963/930/665/GCA_963930665.1/GCA_963930665.1.fa.gz		GCA_963930665.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_963930665.1/	
house mouse 	mMusMuc1.1	Mus musculus	https://hgdownload.soe.ucsc.edu/hubs/GCA/949/316/315/GCA_949316315.1/GCA_949316315.1.fa.gz		GCA_949316315.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_949316315.1/	
hazel dormouse 	mMusAve1.1	Muscardinus avellanarius	https://hgdownload.soe.ucsc.edu/hubs/GCA/963/383/645/GCA_963383645.1/GCA_963383645.1.fa.gz		GCA_963383645.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_963383645.1/	
ermine 	mMusErm1.Pri	Mustela erminea	https://hgdownload.soe.ucsc.edu/hubs/GCF/009/829/155/GCF_009829155.1/GCF_009829155.1.fa.gz		GCF_009829155.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_009829155.1/	
European mink 	mMusLut2.pri	Mustela lutreola	https://hgdownload.soe.ucsc.edu/hubs/GCF/030/435/805/GCF_030435805.1/GCF_030435805.1.fa.gz		GCF_030435805.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_030435805.1/	
starry smooth-hound 	sMusAst1.hap1.1	Mustelus asterias	https://hgdownload.soe.ucsc.edu/hubs/GCA/964/213/995/GCA_964213995.1/GCA_964213995.1.fa.gz		GCA_964213995.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_964213995.1/	
Daubenton's bat 	mMyoDau2.1	Myotis daubentonii	https://hgdownload.soe.ucsc.edu/hubs/GCF/963/259/705/GCF_963259705.1/GCF_963259705.1.fa.gz		GCF_963259705.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_963259705.1/	
greater mouse-eared bat 	mMyoMyo1.p	Myotis myotis	https://hgdownload.soe.ucsc.edu/hubs/GCF/014/108/235/GCF_014108235.1/GCF_014108235.1.fa.gz		GCF_014108235.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_014108235.1/	
whiskered bat 	mMyoMys1.hap1.1	Myotis mystacinus	https://hgdownload.soe.ucsc.edu/hubs/GCA/964/094/495/GCA_964094495.2/GCA_964094495.2.fa.gz		GCA_964094495.2	https://www.ncbi.nlm.nih.gov/assembly/GCA_964094495.2/	
Natterer's bat 	mMyoNat1.hap1.1	Myotis nattereri	https://hgdownload.soe.ucsc.edu/hubs/GCA/964/212/035/GCA_964212035.1/GCA_964212035.1.fa.gz		GCA_964212035.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_964212035.1/	
pinecone soldierfish 	fMyrMur1.1	Myripristis murdjan	https://hgdownload.soe.ucsc.edu/hubs/GCF/902/150/065/GCF_902150065.1/GCF_902150065.1.fa.gz		GCF_902150065.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_902150065.1/	
Bellinger river turtle 	rMyuGeo1.pri.20230808	Myuchelys georgesi	https://hgdownload.soe.ucsc.edu/hubs/GCA/040/894/355/GCA_040894355.1/GCA_040894355.1.fa.gz		GCA_040894355.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_040894355.1/	
Atlantic hagfish 	kmMyxGlut1.1	Myxine glutinosa	https://hgdownload.soe.ucsc.edu/hubs/GCA/964/187/855/GCA_964187855.1/GCA_964187855.1.fa.gz		GCA_964187855.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_964187855.1/	
lantern fish 	fNanAch1.1	Nannobrachium achirus	https://hgdownload.soe.ucsc.edu/hubs/GCA/963/921/795/GCA_963921795.1/GCA_963921795.1.fa.gz		GCA_963921795.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_963921795.1/	
pencil smelt N.antarctica 	fNanAnt1.1	Nansenia antarctica	https://hgdownload.soe.ucsc.edu/hubs/GCA/963/989/245/GCA_963989245.1/GCA_963989245.1.fa.gz		GCA_963989245.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_963989245.1/	
Caribbean electric ray 	sNarBan1.hap1	Narcine bancroftii	https://hgdownload.soe.ucsc.edu/hubs/GCF/036/971/445/GCF_036971445.1/GCF_036971445.1.fa.gz		GCF_036971445.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_036971445.1/	
Caribbean electric ray 	sNarBan1.hap2	Narcine bancroftii	https://hgdownload.soe.ucsc.edu/hubs/GCA/036/971/175/GCA_036971175.1/GCA_036971175.1.fa.gz		GCA_036971175.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_036971175.1/	
snake N.helvetica 	rNatHel1.hap1.1	Natrix helvetica	https://hgdownload.soe.ucsc.edu/hubs/GCA/964/273/705/GCA_964273705.1/GCA_964273705.1.fa.gz		GCA_964273705.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_964273705.1/	
lesser salmon catfish 	fNeoGra1.pri	Neoarius graeffei	https://hgdownload.soe.ucsc.edu/hubs/GCF/027/579/695/GCF_027579695.1/GCF_027579695.1.fa.gz		GCF_027579695.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_027579695.1/	
clouded leopard 	mNeoNeb1.pri	Neofelis nebulosa	https://hgdownload.soe.ucsc.edu/hubs/GCF/028/018/385/GCF_028018385.1/GCF_028018385.1.fa.gz		GCF_028018385.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_028018385.1/	
American mink 	mNeoVis2.hap1.1	Neogale vison	https://hgdownload.soe.ucsc.edu/hubs/GCA/964/106/545/GCA_964106545.1/GCA_964106545.1.fa.gz		GCA_964106545.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_964106545.1/	
pink pigeon 	bNesMay2.1	Nesoenas mayeri	https://hgdownload.soe.ucsc.edu/hubs/GCA/963/082/525/GCA_963082525.1/GCA_963082525.1.fa.gz		GCA_963082525.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_963082525.1/	
red-crested pochard 	bNetRuf1.1	Netta rufina	https://hgdownload.soe.ucsc.edu/hubs/GCA/964/035/555/GCA_964035555.1/GCA_964035555.1.fa.gz		GCA_964035555.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_964035555.1/	
tammar wallaby 	mMacEug1.pri	Notamacropus eugenii	https://hgdownload.soe.ucsc.edu/hubs/GCA/028/372/415/GCA_028372415.1/GCA_028372415.1.fa.gz		GCA_028372415.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_028372415.1/	
New Zealand spotty 	fNotCel1.pri	Notolabrus celidotus	https://hgdownload.soe.ucsc.edu/hubs/GCF/009/762/535/GCF_009762535.1/GCF_009762535.1.fa.gz		GCF_009762535.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_009762535.1/	
